id,title,genres,release_date,original_language,budget,revenue,vote_average,runtime,popularity,vote_count,return,actores,director,companias_produccion,release_year
280,Terminator 2: Judgment Day,"Action, Thriller, Science Fiction",1991-07-01,en,100000000.0,520000000.0,7.7,137.0,22.661695,4274,5.2,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick",James Cameron,"Lightstorm Entertainment, Pacific Western, Canal+, Carolco Pictures, T2 Productions",1991
270946,Penguins of Madagascar,"Family, Animation, Adventure, Comedy",2014-11-22,en,132000000.0,373552094.0,6.5,92.0,22.201607,1375,2.829940106060606,"Tom McGrath, Chris Miller, Christopher Knights","Eric Darnell, Simon J. Smith",DreamWorks Animation,2014
118,Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy",2005-07-13,en,150000000.0,474968763.0,6.7,115.0,22.038405,3759,3.16645842,"Johnny Depp, Freddie Highmore, David Kelly",Tim Burton,"Village Roadshow Pictures, The Zanuck Company, Warner Bros., Tim Burton Productions, Plan B Entertainment, Theobald Film Productions",2005
207933,Stonehearst Asylum,Thriller,2014-09-11,en,0.0,0.0,6.6,112.0,21.991755,427,0.0,"Kate Beckinsale, Jim Sturgess, David Thewlis",Brad Anderson,"Icon Productions, Sobini Films",2014
45243,The Hangover Part II,Comedy,2011-05-25,en,80000000.0,254455986.0,6.2,102.0,21.893532,3836,3.180699825,"Bradley Cooper, Ed Helms, Zach Galifianakis",Todd Phillips,"Legendary Pictures, Living Films, Green Hat Films, Warner Bros.",2011
8358,Cast Away,"Adventure, Drama",2000-12-22,en,90000000.0,429632142.0,7.5,143.0,21.296343,3304,4.773690466666666,"Tom Hanks, Helen Hunt, Chris Noth",Robert Zemeckis,"DreamWorks SKG, Twentieth Century Fox Film Corporation, Playtone, ImageMovers",2000
242582,Nightcrawler,"Crime, Drama, Thriller",2014-10-23,en,8500000.0,38697217.0,7.6,117.0,21.277073,3475,4.552613764705883,"Jake Gyllenhaal, Rene Russo, Riz Ahmed",Dan Gilroy,"Bold Films, Sierra / Affinity",2014
203835,Amityville: The Awakening,"Thriller, Horror",2017-06-30,en,0.0,0.0,5.8,85.0,20.712818,98,0.0,"Bella Thorne, Cameron Monaghan, Jennifer Morrison",Franck Khalfoun,"Miramax Films, Blumhouse Productions, Dimension Films",2017
273477,Scouts Guide to the Zombie Apocalypse,"Comedy, Horror",2015-10-23,en,15000000.0,14860766.0,6.2,93.0,20.683405,526,0.9907177333333334,"Tye Sheridan, Logan Miller, Joey Morgan",Christopher B. Landon,"Paramount Pictures, Oops Doughnuts Productions, Broken Road Productions, Brucks Entertainment",2015
461053,S.W.A.T.: Under Siege,"Action, Crime, Thriller",2017-08-01,en,0.0,0.0,5.2,89.0,20.38691,21,0.0,"Adrianne Palicki, Michael Jai White, Ty Olsson",Tony Giglio,Original Film,2017
293768,Kidnap,"Drama, Thriller",2017-08-04,en,21000000.0,24527158.0,6.0,95.0,20.214579,244,1.1679599047619047,"Halle Berry, Sage Correa, Chris McGinn",Luis Prieto,"Ingenious Media, Di Bonaventura Pictures, Gold Star Films, Lotus Entertainment (I), 606 Films, Well Go USA Entertainment, Rumble Entertainment",2017
278154,Ice Age: Collision Course,"Adventure, Animation, Family, Comedy",2016-06-23,en,105000000.0,408579038.0,5.6,100.0,20.151037,1170,3.891228933333333,"Ray Romano, John Leguizamo, Denis Leary","Mike Thurmeier, Galen T. Chu","Blue Sky Studios, Twentieth Century Fox Animation",2016
346672,Underworld: Blood Wars,"Action, Fantasy, Horror",2016-11-28,en,35000000.0,81093313.0,5.2,91.0,20.02976,1619,2.3169518,"Kate Beckinsale, Theo James, Lara Pulver",Anna Foerster,"Lakeshore Entertainment, Screen Gems, Sketch Films",2016
17774,Derailed,"Action, Thriller",2002-05-19,en,0.0,0.0,3.9,89.0,20.020975,47,0.0,"Jean-Claude Van Damme, Tomas Arana, Laura Harring",Bob Misiorowski,"777 Films Corporation, Halt Productions",2002
74,War of the Worlds,"Adventure, Thriller, Science Fiction",2005-06-28,en,132000000.0,591739379.0,6.2,116.0,19.929377,2397,4.482874083333333,"Tom Cruise, Dakota Fanning, Miranda Otto",Steven Spielberg,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment",2005
207,Dead Poets Society,Drama,1989-06-02,en,16400000.0,235860116.0,8.1,129.0,19.905716,2786,14.381714390243902,"Robin Williams, Ethan Hawke, Robert Sean Leonard",Peter Weir,"Touchstone Pictures, Silver Screen Partners IV",1989
5968,The Woman in Red,"Comedy, Romance",1984-08-15,en,25300000.0,0.0,5.6,87.0,19.856025,101,0.0,"Gene Wilder, Charles Grodin, Joseph Bologna",Gene Wilder,Orion Pictures,1984
10585,Child's Play,"Horror, Thriller",1988-11-08,en,9000000.0,44196684.0,6.3,87.0,19.827546,605,4.910742666666667,"Catherine Hicks, Chris Sarandon, Alex Vincent",Tom Holland,United Artists,1988
12271,Factory Girl,Drama,2006-12-29,en,7000000.0,0.0,6.2,90.0,19.651793,83,0.0,"Sienna Miller, Guy Pearce, Hayden Christensen",George Hickenlooper,"The Weinstein Company, L.I.F.T. Production, Holly Wiersma Productions",2006
694,The Shining,"Horror, Thriller",1980-05-22,en,19000000.0,44017374.0,8.1,144.0,19.611589,3890,2.316703894736842,"Jack Nicholson, Shelley Duvall, Danny Lloyd",Stanley Kubrick,"Hawk Films, Warner Bros., Peregrine",1980
10679,Iron Sky,"Action, Comedy, Science Fiction",2012-03-10,en,7500000.0,8135031.0,5.6,93.0,19.561767,563,1.0846708,"Julia Dietze, Christopher Kirby, Götz Otto",Timo Vuorensola,"Blind Spot Pictures Oy, 27 Films Production, New Holland Pictures",2012
181533,Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Fantasy, Family",2014-12-17,en,127000000.0,349424282.0,6.1,97.0,19.539436,1893,2.7513722992125986,"Ben Stiller, Rami Malek, Rebel Wilson",Shawn Levy,"Twentieth Century Fox Film Corporation, 1492 Pictures, 21 Laps Entertainment, Moving Picture Company (MPC), TSG Entertainment",2014
14160,Up,"Animation, Comedy, Family, Adventure",2009-05-13,en,175000000.0,735099082.0,7.8,96.0,19.330884,7048,4.200566182857143,"Ed Asner, Christopher Plummer, Jordan Nagai",Pete Docter,Pixar Animation Studios,2009
218,The Terminator,"Action, Thriller, Science Fiction",1984-10-26,en,6400000.0,78371200.0,7.4,108.0,19.293562,4208,12.2455,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton",James Cameron,"Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding",1984
923,Dawn of the Dead,Horror,1978-09-02,en,650000.0,55000000.0,7.4,127.0,19.24201,597,84.61538461538461,"David Emge, Ken Foree, Scott H. Reiniger",George A. Romero,"Laurel Group, Dawn Associates",1978
17578,The Adventures of Tintin,"Adventure, Animation, Mystery",2011-10-25,en,130000000.0,371940071.0,6.7,107.0,19.201504,2095,2.861077469230769,"Jamie Bell, Andy Serkis, Daniel Craig",Steven Spielberg,"Paramount Pictures, Columbia Pictures, WingNut Films, Amblin Entertainment, Nickelodeon Movies, Kennedy/Marshall Company, The, Hemisphere Media Capital",2011
268,Batman,"Fantasy, Action",1989-06-23,en,35000000.0,411348924.0,7.0,126.0,19.10673,2145,11.7528264,"Jack Nicholson, Michael Keaton, Kim Basinger",Tim Burton,"PolyGram Filmed Entertainment, The Guber-Peters Company, Warner Bros.",1989
1949,Zodiac,"Crime, Drama, Mystery, Thriller",2007-03-02,en,65000000.0,84785914.0,7.3,157.0,19.083823,2080,1.3043986769230769,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo",David Fincher,"Paramount Pictures, Warner Bros., Phoenix Pictures",2007
9792,The Hills Have Eyes,"Horror, Thriller",2006-03-10,en,15000000.0,69623713.0,6.1,107.0,18.960549,726,4.641580866666667,"Aaron Stanford, Kathleen Quinlan, Vinessa Shaw",Alexandre Aja,"Fox Searchlight Pictures, Dune Entertainment, Major Studio Partners, Craven-Maddalena Films",2006
15255,Undisputed II: Last Man Standing,"Action, Crime, Thriller",2006-04-11,en,0.0,0.0,6.8,93.0,18.957084,148,0.0,"Michael Jai White, Scott Adkins, Ben Cross",Isaac Florentine,"Millennium Films, Nu Image Bulgaria",2006
920,Cars,"Animation, Adventure, Comedy, Family",2006-06-08,en,120000000.0,461983149.0,6.6,117.0,18.907948,3991,3.849859575,"Owen Wilson, Paul Newman, Bonnie Hunt","John Lasseter, Joe Ranft","Walt Disney Pictures, Pixar Animation Studios",2006
267935,The BFG,"Adventure, Family, Fantasy",2016-06-01,en,140000000.0,183345589.0,6.0,120.0,18.769476,1026,1.30961135,"Ruby Barnhill, Mark Rylance, Rebecca Hall",Steven Spielberg,"Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment, Kennedy/Marshall Company, The, Walden Media",2016
345915,Once Upon a Time in Venice,"Action, Comedy, Thriller",2017-06-08,en,0.0,0.0,5.2,94.0,18.699821,119,0.0,"Bruce Willis, Jason Momoa, John Goodman",Mark Cullen,Voltage Pictures,2017
13486,The Scorpion King: Rise of a Warrior,"Fantasy, Action, Adventure",2008-07-19,en,0.0,0.0,4.3,109.0,18.691187,138,0.0,"Michael Copon, Randy Couture, Karen David",Russell Mulcahy,"Universal Pictures, ApolloMovie Beteiligungs, Film Afrika Worldwide, Sommers Company, The",2008
15159,The Pink Panther 2,"Comedy, Mystery",2009-02-06,en,0.0,75871032.0,5.4,92.0,18.54675,323,0.0,"Steve Martin, Jean Reno, Emily Mortimer",Harald Zwart,"Columbia Pictures, Robert Simonds Productions, Metro-Goldwyn-Mayer (MGM)",2009
10711,French Connection II,"Action, Crime, Drama, Thriller",1975-05-18,en,0.0,12484444.0,6.6,119.0,18.54199,95,0.0,"Gene Hackman, Fernando Rey, Bernard Fresson",John Frankenheimer,Twentieth Century Fox Film Corporation,1975
49521,Man of Steel,"Action, Adventure, Fantasy, Science Fiction",2013-06-12,en,225000000.0,662845518.0,6.5,143.0,18.538834,6462,2.94598008,"Henry Cavill, Amy Adams, Michael Shannon",Zack Snyder,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films",2013
12244,9,"Action, Adventure, Animation, Science Fiction, Thriller",2009-08-19,en,30000000.0,48428063.0,6.6,79.0,18.502877,1291,1.6142687666666666,"Christopher Plummer, Martin Landau, John C. Reilly",Shane Acker,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions",2009
10538,Passenger 57,"Action, Adventure, Thriller",1992-11-05,en,15000000.0,44065653.0,5.6,84.0,18.451321,264,2.9377102,"Wesley Snipes, Bruce Payne, Tom Sizemore",Kevin Hooks,Warner Bros.,1992
207932,Inferno,Thriller,2016-10-13,en,75000000.0,220021259.0,5.7,121.0,18.311054,2316,2.9336167866666667,"Tom Hanks, Felicity Jones, Omar Sy",Ron Howard,"Columbia Pictures, Imagine Entertainment, Mid Atlantic Films, Sony Pictures Releasing, LStar Capital",2016
141,Donnie Darko,"Fantasy, Drama, Mystery",2001-01-18,en,6000000.0,1270522.0,7.7,113.0,18.303148,3574,0.21175366666666667,"Jake Gyllenhaal, Jena Malone, Patrick Swayze",Richard Kelly,"Pandora Cinema, Twentieth Century Fox Film Corporation, Flower Films, Adam Fields Productions",2001
1535,Spy Game,"Action, Crime, Thriller",2001-11-18,en,92000000.0,143049560.0,6.8,126.0,18.186839,592,1.5548865217391303,"Robert Redford, Brad Pitt, Catherine McCormack",Tony Scott,"Universal Pictures, Metropolitan Filmexport, Toho-Towa, Red Wagon Productions, Beacon Communications, Kalima Productions GmbH & Co. KG",2001
8271,Disturbia,"Thriller, Drama, Mystery",2007-04-12,en,20000000.0,117760134.0,6.6,105.0,18.006896,1038,5.8880067,"Shia LaBeouf, Sarah Roemer, Carrie-Anne Moss",D.J. Caruso,"Paramount Pictures, DreamWorks SKG, Cold Spring Pictures, Montecito Picture Company, The",2007
10555,Shark Tale,"Animation, Action, Comedy, Family",2004-09-20,en,75000000.0,367275019.0,5.8,90.0,17.999273,1612,4.897000253333333,"Will Smith, Robert De Niro, Renée Zellweger","Vicky Jenson, Bibo Bergeron, Rob Letterman","DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",2004
2832,Identity,"Mystery, Thriller",2003-04-25,en,30000000.0,90259536.0,7.1,90.0,17.955897,1090,3.0086512,"John Cusack, Ray Liotta, Amanda Peet",James Mangold,"Konrad Pictures, Columbia Pictures Corporation",2003
75656,Now You See Me,"Thriller, Crime",2013-05-29,en,75000000.0,117698894.0,7.3,115.0,17.852022,5635,1.5693185866666666,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson",Louis Leterrier,"Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana",2013
8409,A Man Apart,"Action, Drama",2003-04-04,en,36000000.0,44350926.0,5.8,109.0,17.714247,261,1.2319701666666667,"Vin Diesel, Larenz Tate, Timothy Olyphant",F. Gary Gray,"New Line Cinema, Newman/Tooley Films, Joseph Nittolo Entertainment, ""DIA"" Productions GmbH & Co. KG",2003
41216,Legend of the Guardians: The Owls of Ga'Hoole,"Animation, Adventure, Family, Fantasy",2010-07-10,en,80000000.0,140073390.0,6.5,97.0,17.674048,715,1.750917375,"Emily Barclay, Abbie Cornish, Essie Davis",Zack Snyder,"Village Roadshow Pictures, Warner Bros., Animal Logic, Cruel and Unusual Films",2010
162,Edward Scissorhands,"Fantasy, Drama, Romance",1990-12-05,en,20000000.0,53000000.0,7.5,105.0,17.612244,3731,2.65,"Johnny Depp, Winona Ryder, Dianne Wiest",Tim Burton,Twentieth Century Fox Film Corporation,1990
2758,Addams Family Values,"Comedy, Family, Fantasy",1993-11-19,en,0.0,48919043.0,6.5,94.0,17.555909,537,0.0,"Raúl Juliá, Anjelica Huston, Christopher Lloyd",Barry Sonnenfeld,"Paramount Pictures, Orion Pictures, Scott Rudin Productions",1993
5203,Wild Orchid,"Drama, Romance",1989-12-22,en,7000000.0,0.0,4.6,105.0,17.395203,50,0.0,"Jacqueline Bisset, Carré Otis, Mickey Rourke",Zalman King,Vision P.D.G.,1989
22804,Saw VI,"Horror, Mystery",2009-10-22,en,11000000.0,68233629.0,6.0,90.0,17.360894,755,6.203057181818182,"Tobin Bell, Costas Mandylor, Betsy Russell",Kevin Greutert,"Lionsgate, Twisted Pictures",2009
425,Ice Age,"Animation, Comedy, Family, Adventure",2002-03-10,en,59000000.0,383257136.0,7.1,81.0,17.328902,3954,6.495883661016949,"Ray Romano, John Leguizamo, Denis Leary",Chris Wedge,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",2002
49018,Insidious,"Horror, Thriller",2010-09-13,en,1500000.0,97009150.0,6.8,103.0,17.24814,1775,64.67276666666666,"Patrick Wilson, Rose Byrne, Ty Simpkins",James Wan,"Alliance Films, IM Global, Stage 6 Films, Haunted Movies",2010
714,Tomorrow Never Dies,"Adventure, Action, Thriller",1997-12-11,en,110000000.0,333011068.0,6.0,119.0,17.159576,941,3.0273733454545453,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh",Roger Spottiswoode,Eon Productions,1997
8077,Alien³,"Science Fiction, Action, Horror",1992-05-22,en,50000000.0,159773545.0,6.2,114.0,17.126768,1664,3.1954709,"Sigourney Weaver, Charles S. Dutton, Charles Dance",David Fincher,"Twentieth Century Fox Film Corporation, Brandywine Productions",1992
185,A Clockwork Orange,"Science Fiction, Drama",1971-12-18,en,2200000.0,26589000.0,8.0,136.0,17.112594,3432,12.085909090909091,"Malcolm McDowell, Patrick Magee, Adrienne Corri",Stanley Kubrick,"Hawk Films, Warner Bros.",1971
36586,Blade II,"Fantasy, Horror, Action, Thriller",2002-03-22,en,54000000.0,155010032.0,6.3,117.0,17.05064,1556,2.870556148148148,"Wesley Snipes, Kris Kristofferson, Ron Perlman",Guillermo del Toro,"New Line Cinema, Amen Ra Films, Milk & Honey, Imaginary Forces, Justin Pictures, Linovo Productions GmbH & Co. KG, Pacific Title and Art Studio, Marvel Enterprises",2002
335791,When the Bough Breaks,"Mystery, Drama, Horror",2016-09-09,en,10000000.0,30658387.0,5.3,97.0,17.046052,93,3.0658387,"Morris Chestnut, Regina Hall, Romany Malco",Jon Cassar,"Screen Gems, Unique Features",2016
321258,The Boy,"Horror, Mystery, Thriller",2016-01-22,en,10000000.0,64188367.0,5.8,97.0,17.028854,1133,6.4188367,"Lauren Cohan, Rupert Evans, James Russell",William Brent Bell,"Lakeshore Entertainment, Vertigo Entertainment, Diamond Films, Showtime Networks, STX Entertainment",2016
8844,Jumanji,"Adventure, Fantasy, Family",1995-12-15,en,65000000.0,262797249.0,6.9,104.0,17.015539,2413,4.0430346,"Robin Williams, Jonathan Hyde, Kirsten Dunst",Joe Johnston,"TriStar Pictures, Teitler Film, Interscope Communications",1995
137116,Smurfs: The Lost Village,"Adventure, Animation, Comedy, Family",2017-03-23,en,60000000.0,197183546.0,6.2,89.0,16.972835,311,3.2863924333333334,"Julia Roberts, Ariel Winter, Ellie Kemper",Kelly Asbury,"Columbia Pictures, Sony Pictures Animation, Kerner Entertainment Company",2017
1124,The Prestige,"Drama, Mystery, Thriller",2006-10-19,en,40000000.0,109676311.0,8.0,130.0,16.94556,4510,2.741907775,"Hugh Jackman, Christian Bale, Michael Caine",Christopher Nolan,"Warner Bros., Touchstone Pictures, Syncopy",2006
256924,Danny Collins,"Comedy, Drama, Music",2015-03-19,en,10000000.0,10835752.0,6.6,107.0,16.903373,187,1.0835752,"Al Pacino, Annette Bening, Jennifer Garner",Dan Fogelman,"Big Indie Pictures, ShivHans Pictures",2015
9502,Kung Fu Panda,"Adventure, Animation, Family, Comedy",2008-06-04,en,130000000.0,631744560.0,6.9,90.0,16.897541,3231,4.859573538461539,"Jack Black, Dustin Hoffman, Angelina Jolie","Mark Osborne, John Stevenson",DreamWorks Animation,2008
9487,A Bug's Life,"Adventure, Animation, Comedy, Family",1998-11-25,en,120000000.0,363258859.0,6.8,95.0,16.869209,2379,3.0271571583333334,"Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere",John Lasseter,"Walt Disney Pictures, Pixar Animation Studios",1998
136799,Trolls,"Adventure, Animation, Family",2016-10-13,en,125000000.0,346864462.0,6.7,92.0,16.83711,1054,2.774915696,"Anna Kendrick, Justin Timberlake, Zooey Deschanel","Mike Mitchell, Walt Dohrn","Twentieth Century Fox Film Corporation, DreamWorks Animation",2016
1091,The Thing,"Horror, Mystery, Science Fiction",1982-06-25,en,15000000.0,19629760.0,7.8,109.0,16.83125,1629,1.3086506666666666,"Kurt Russell, Keith David, Wilford Brimley",John Carpenter,"Universal Pictures, Turman-Foster Company",1982
41439,Saw: The Final Chapter,"Horror, Crime",2010-10-21,en,20000000.0,136150434.0,5.8,90.0,16.626655,758,6.8075217,"Tobin Bell, Costas Mandylor, Betsy Russell",Kevin Greutert,"Lionsgate, Twisted Pictures, Serendipity Productions",2010
47763,The Shrine,Horror,2010-10-14,en,0.0,0.0,5.8,85.0,16.544322,81,0.0,"Cindy Sampson, Aaron Ashmore, Meghan Heffern",Jon Knautz,"Brookstreet Pictures, Wesley Clover Media",2010
